Generation  0
Individual id:  87  | Accuracy:  0.3466666666666667  | Hinge Loss:  8.817437334862323
Individual id:  88  | Accuracy:  0.3333333333333333  | Hinge Loss:  7.933878575862512
Individual id:  89  | Accuracy:  0.3333333333333333  | Hinge Loss:  10.33278069385183
Individual id:  90  | Accuracy:  0.3333333333333333  | Hinge Loss:  7.290641661418549
Individual id:  91  | Accuracy:  0.6666666666666666  | Hinge Loss:  6.766985640192754
Individual id:  92  | Accuracy:  0.3333333333333333  | Hinge Loss:  11.40628438407378
Individual id:  93  | Accuracy:  0.64  | Hinge Loss:  12.472131509294284
Individual id:  94  | Accuracy:  0.32  | Hinge Loss:  3.834621832094681
Individual id:  95  | Accuracy:  0.6533333333333333  | Hinge Loss:  5.911220557464389
Individual id:  96  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.020644667313695
Individual id:  97  | Accuracy:  0.30666666666666664  | Hinge Loss:  13.5126640011966
Individual id:  98  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.755228400937657
Individual id:  99  | Accuracy:  0.02666666666666667  | Hinge Loss:  3.682655970946874
Metrics: 
Average accuracy of the population:  0.3514
Average loss of the population:  7.878578299181047
---------------------------------------------------
Generation  2
Individual id:  0  | Accuracy:  0.6866666666666666  | Hinge Loss:  0.7744099684666512
Individual id:  1  | Accuracy:  0.4533333333333333  | Hinge Loss:  1.4087698574400793
Individual id:  2  | Accuracy:  0.4666666666666667  | Hinge Loss:  1.619214899006909
Individual id:  3  | Accuracy:  0.3333333333333333  | Hinge Loss:  1.6979262918858402
Individual id:  4  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.015845315379167
Individual id:  5  | Accuracy:  0.5866666666666667  | Hinge Loss:  2.214236229566259
Individual id:  6  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.4452031024856296
Individual id:  7  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.6281943558974117
Individual id:  8  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.962950099640534
Individual id:  9  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.995573904780505
Individual id:  10  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.092203334171781
Individual id:  11  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.289666738099945
Individual id:  12  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.3833255736708376
Individual id:  13  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.6465939688238693
Individual id:  14  | Accuracy:  0.02666666666666667  | Hinge Loss:  3.682655970946874
Individual id:  15  | Accuracy:  0.32  | Hinge Loss:  3.834621832094681
Individual id:  16  | Accuracy:  0.6666666666666666  | Hinge Loss:  4.156233442314721
Individual id:  17  | Accuracy:  0.36666666666666664  | Hinge Loss:  4.163047619527543
Individual id:  18  | Accuracy:  0.3333333333333333  | Hinge Loss:  4.297545968060316
Individual id:  19  | Accuracy:  0.3333333333333333  | Hinge Loss:  4.467678234110798
Individual id:  20  | Accuracy:  0.3333333333333333  | Hinge Loss:  4.86734100681984
Individual id:  21  | Accuracy:  0.3333333333333333  | Hinge Loss:  4.896814787265205
Individual id:  22  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.046643038371718
Individual id:  23  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.087536083159253
Individual id:  24  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.142389859056918
Individual id:  25  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.232568584920769
Individual id:  26  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.238192947964734
Individual id:  27  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.253659235855377
Individual id:  28  | Accuracy:  0.6666666666666666  | Hinge Loss:  5.288438827842587
Individual id:  29  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.294141101070258
Individual id:  30  | Accuracy:  0.3333333333333333  | Hinge Loss:  7.861270253207708
Individual id:  31  | Accuracy:  0.34  | Hinge Loss:  4.654006843473303
Individual id:  32  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.329177151207143
Individual id:  33  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.803673892781545
Individual id:  34  | Accuracy:  0.3333333333333333  | Hinge Loss:  10.81950909788061
Individual id:  35  | Accuracy:  0.3333333333333333  | Hinge Loss:  10.395257674976229
Individual id:  36  | Accuracy:  0.3333333333333333  | Hinge Loss:  10.922600596769223
Individual id:  37  | Accuracy:  0.43333333333333335  | Hinge Loss:  5.671700137013522
Individual id:  38  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.895705940044342
Individual id:  39  | Accuracy:  0.03333333333333333  | Hinge Loss:  5.858306674108989
Individual id:  40  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.13262915579649
Individual id:  41  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.399249715883782
Individual id:  42  | Accuracy:  0.3333333333333333  | Hinge Loss:  8.012797497050137
Individual id:  43  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.226027791610938
Individual id:  44  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.7945925243218825
Individual id:  45  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.21851102870658
Individual id:  46  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.317387420106795
Individual id:  47  | Accuracy:  0.3333333333333333  | Hinge Loss:  11.115061150905541
Individual id:  48  | Accuracy:  0.3333333333333333  | Hinge Loss:  11.208836066929168
Individual id:  49  | Accuracy:  0.36666666666666664  | Hinge Loss:  4.163047619527543
Individual id:  50  | Accuracy:  0.3333333333333333  | Hinge Loss:  7.784640633158809
Individual id:  51  | Accuracy:  0.3333333333333333  | Hinge Loss:  1.812721708817955
Individual id:  52  | Accuracy:  0.3333333333333333  | Hinge Loss:  8.52754445540232
Individual id:  53  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.586910651881734
Individual id:  54  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.325616824315476
Individual id:  55  | Accuracy:  0.3333333333333333  | Hinge Loss:  11.113179599712117
Individual id:  56  | Accuracy:  0.3333333333333333  | Hinge Loss:  12.567322694469068
Individual id:  57  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.499594787242971
Individual id:  58  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.345535025869175
Individual id:  59  | Accuracy:  0.30666666666666664  | Hinge Loss:  5.621569633163211
Individual id:  60  | Accuracy:  0.3933333333333333  | Hinge Loss:  4.826096094774904
Individual id:  61  | Accuracy:  0.3333333333333333  | Hinge Loss:  17.80649071130304
Individual id:  62  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.713606095403925
Individual id:  63  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.8291608441868332
Individual id:  64  | Accuracy:  0.5933333333333334  | Hinge Loss:  6.844529414009974
Individual id:  65  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.545214647459687
Individual id:  66  | Accuracy:  0.3333333333333333  | Hinge Loss:  4.863989761752637
Individual id:  67  | Accuracy:  0.6666666666666666  | Hinge Loss:  6.338410407766292
Individual id:  68  | Accuracy:  0.28  | Hinge Loss:  8.930188061985833
Individual id:  69  | Accuracy:  0.37333333333333335  | Hinge Loss:  7.669269626388215
Individual id:  70  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.552822191878926
Individual id:  71  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.339560183289237
Individual id:  72  | Accuracy:  0.3333333333333333  | Hinge Loss:  14.957265087953589
Individual id:  73  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.258207336002639
Individual id:  74  | Accuracy:  0.3333333333333333  | Hinge Loss:  8.82013340138047
Individual id:  75  | Accuracy:  0.0  | Hinge Loss:  6.046164941485575
Individual id:  76  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.80210320534435
Individual id:  77  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.674271943265419
Individual id:  78  | Accuracy:  0.3333333333333333  | Hinge Loss:  3.866320990669099
Individual id:  79  | Accuracy:  0.3333333333333333  | Hinge Loss:  6.484915965965004
Individual id:  80  | Accuracy:  0.3333333333333333  | Hinge Loss:  14.331028467127735
Individual id:  81  | Accuracy:  0.3333333333333333  | Hinge Loss:  8.074332326564218
Individual id:  82  | Accuracy:  0.3333333333333333  | Hinge Loss:  11.655780629683969
Individual id:  83  | Accuracy:  0.5  | Hinge Loss:  9.583689063994273
Individual id:  84  | Accuracy:  0.3333333333333333  | Hinge Loss:  9.788469957829054
Individual id:  85  | Accuracy:  0.46  | Hinge Loss:  11.482134896911822
Individual id:  86  | Accuracy:  0.3333333333333333  | Hinge Loss:  2.116217488975481
Individual id:  87  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.271960893113727
Individual id:  88  | Accuracy:  0.3333333333333333  | Hinge Loss:  5.056536980325432
Individual id:  89  | Accuracy:  0.3333333333333333  | Hinge Loss:  12.232927109771616
Individual id:  90  | Accuracy:  0.3333333333333333  | Hinge Loss:  14.036323629868532
Individual id:  91  | Accuracy:  0.3333333333333333  | Hinge Loss:  8.236453153527432
Individual id:  92  | Accuracy:  0.3333333333333333  | Hinge Loss:  14.672952928170313
Individual id:  93  | Accuracy:  0.66  | Hinge Loss:  7.916256982622434
Individual id:  94  | Accuracy:  0.3333333333333333  | Hinge Loss:  7.6709279694920545
Individual id:  95  | Accuracy:  0.3333333333333333  | Hinge Loss:  11.151010398658178
